user_id;departure_time;origin;destination
140;00:01:17;842966.987225 6519878.761507;842874.672878 6520886.775799
141;00:01:18;842872.935922 6520868.859801;844012.319007 6520299.783916
142;00:01:19;844593.286 6520218.2902;842874.672878 6520886.775799
143;00:01:19;842966.987225 6519878.761507;844591.4105 6519934.9879
144;00:01:19;843910.7707 6520778.7554;842930.346171 6520447.476392
145;00:01:19;844421.097 6520729.653;843481.8564 6519806.7462
146;00:01:20;842872.935922 6520868.859801;844343.432406 6520934.072262
147;00:01:20;843182.1181 6520224.0739;843481.8564 6519806.7462
148;00:01:21;844018.253593 6520300.667484;844480.5433 6520450.0164
149;00:01:21;844393.8087 6519808.1447;842930.346171 6520447.476392
150;00:01:21;844431.3324 6520823.2025;842930.346171 6520447.476392
151;00:01:22;842966.987225 6519878.761507;844351.726293 6519883.539212
152;00:01:22;843452.767629167 6520064.282337333;843312.089858 6521426.578666
153;00:01:23;844462.989651 6520644.367132;844351.726293 6519883.539212
154;00:01:23;842966.987225 6519878.761507;843112.7044 6519866.9951
155;00:01:24;842872.935922 6520868.859801;844343.432406 6520934.072262
156;00:01:24;844341.165194 6520945.856138;844512.440038 6520350.015032
157;00:01:24;843409.824 6519795.0649;843481.8564 6519806.7462
158;00:01:24;843561.6331 6519819.7203;844359.524784 6519939.593822
159;00:01:25;844341.165194 6520945.856138;843317.6397 6519780.692
160;00:01:26;844462.989651 6520644.367132;843317.6397 6519780.692
161;00:01:26;844431.3324 6520823.2025;843656.9246 6519834.1696
162;00:01:27;843409.824 6519795.0649;844194.3295 6519860.1052
163;00:01:28;844345.1614 6519959.1818;842874.672878 6520886.775799
164;00:01:29;842872.935922 6520868.859801;844480.5433 6520450.0164
165;00:01:29;844431.3324 6520823.2025;844343.432406 6520934.072262
166;00:01:31;844341.165194 6520945.856138;844512.440038 6520350.015032
167;00:01:31;843409.824 6519795.0649;844591.4105 6519934.9879
168;00:01:31;844393.8087 6519808.1447;844359.524784 6519939.593822
169;00:01:31;844431.3324 6520823.2025;843312.089858 6521426.578666
170;00:01:32;844593.286 6520218.2902;842874.672878 6520886.775799
171;00:01:32;842872.935922 6520868.859801;843481.8564 6519806.7462
172;00:01:32;844341.165194 6520945.856138;844343.432406 6520934.072262
173;00:01:33;842966.987225 6519878.761507;844012.319007 6520299.783916
174;00:01:33;843409.824 6519795.0649;843112.7044 6519866.9951
175;00:01:34;842872.935922 6520868.859801;844194.3295 6519860.1052
176;00:01:34;844393.8087 6519808.1447;844591.4105 6519934.9879
177;00:01:35;844431.3324 6520823.2025;843481.8564 6519806.7462
178;00:01:36;842966.987225 6519878.761507;843656.9246 6519834.1696
179;00:01:37;844393.8087 6519808.1447;843239.396612 6520073.970101
180;00:01:38;844431.3324 6520823.2025;844512.440038 6520350.015032
181;00:01:38;843072.9444631429 6520866.138430715;844343.432406 6520934.072262
182;00:01:39;842966.987225 6519878.761507;843312.089858 6521426.578666
183;00:01:40;843409.824 6519795.0649;844343.432406 6520934.072262
184;00:01:41;844462.989651 6520644.367132;844012.319007 6520299.783916
185;00:01:41;844593.286 6520218.2902;844359.524784 6519939.593822
186;00:01:41;842966.987225 6519878.761507;844480.5433 6520450.0164
187;00:01:41;844393.8087 6519808.1447;843312.089858 6521426.578666
188;00:01:43;842966.987225 6519878.761507;844512.440038 6520350.015032
189;00:01:43;844393.8087 6519808.1447;844591.4105 6519934.9879
190;00:01:43;843955.5762 6519995.5723;843312.089858 6521426.578666
191;00:01:44;844431.3324 6520823.2025;843239.396612 6520073.970101
192;00:01:45;844593.286 6520218.2902;843317.6397 6519780.692
193;00:01:45;842872.935922 6520868.859801;844194.3295 6519860.1052
194;00:01:45;842966.987225 6519878.761507;843112.7044 6519866.9951
195;00:01:46;843146.8685 6519868.9029;844359.524784 6519939.593822
196;00:01:46;844431.3324 6520823.2025;843239.396612 6520073.970101
197;00:01:47;844462.989651 6520644.367132;843703.726664 6519971.126841
198;00:01:47;844341.165194 6520945.856138;843239.396612 6520073.970101
199;00:01:47;844409.3926 6520103.9884;842874.672878 6520886.775799
200;00:01:48;844593.286 6520218.2902;843901.0703 6519866.5502
201;00:01:48;842966.987225 6519878.761507;844512.440038 6520350.015032
202;00:01:49;844462.989651 6520644.367132;842874.672878 6520886.775799
203;00:01:50;844341.165194 6520945.856138;843656.9246 6519834.1696
204;00:01:50;843136.1949 6520959.4693;843955.5762 6519995.5723
205;00:01:51;842872.935922 6520868.859801;843112.7044 6519866.9951
206;00:01:51;844393.8087 6519808.1447;844343.432406 6520934.072262
207;00:01:52;844462.989651 6520644.367132;844480.5433 6520450.0164
208;00:01:53;842966.987225 6519878.761507;844512.440038 6520350.015032
209;00:01:53;843409.824 6519795.0649;844012.319007 6520299.783916
210;00:01:53;844393.8087 6519808.1447;842874.672878 6520886.775799
211;00:01:53;844517.267 6520112.0825;842874.672878 6520886.775799
212;00:01:54;844593.286 6520218.2902;844012.319007 6520299.783916
213;00:01:54;842872.935922 6520868.859801;844351.726293 6519883.539212
214;00:01:54;844341.165194 6520945.856138;844591.4105 6519934.9879
215;00:01:55;842872.935922 6520868.859801;844343.432406 6520934.072262
216;00:01:55;844421.097 6520729.653;844512.440038 6520350.015032
217;00:01:56;844341.165194 6520945.856138;844194.3295 6519860.1052
218;00:01:56;844404.4784 6519817.2823;843317.6397 6519780.692
219;00:01:56;843283.17 6521456.1002;843239.396612 6520073.970101
220;00:01:57;842966.987225 6519878.761507;843112.7044 6519866.9951
221;00:01:57;843409.824 6519795.0649;843312.089858 6521426.578666
222;00:01:58;843245.331788 6520074.849699;842930.346171 6520447.476392
223;00:01:58;844393.8087 6519808.1447;843312.089858 6521426.578666
224;00:01:59;844462.989651 6520644.367132;843481.8564 6519806.7462
225;00:01:59;842872.935922 6520868.859801;844194.3295 6519860.1052
226;00:01:59;842966.987225 6519878.761507;844480.5433 6520450.0164
227;00:02:00;844593.286 6520218.2902;844591.4105 6519934.9879
228;00:02:00;843561.6331 6519819.7203;843112.7044 6519866.9951
229;00:02:00;843429.9795 6520263.1876;843656.9246 6519834.1696
230;00:02:00;843616.27077525 6520091.401017999;844351.726293 6519883.539212
231;00:02:01;843409.824 6519795.0649;844480.5433 6520450.0164
232;00:02:04;844341.165194 6520945.856138;844359.524784 6519939.593822
233;00:02:04;843245.331788 6520074.849699;844591.4105 6519934.9879
234;00:02:04;844431.3324 6520823.2025;842930.346171 6520447.476392
235;00:02:05;844393.8087 6519808.1447;843703.726664 6519971.126841
236;00:02:06;842966.987225 6519878.761507;844012.319007 6520299.783916
237;00:02:07;842872.935922 6520868.859801;843317.6397 6519780.692
238;00:02:07;844341.165194 6520945.856138;844512.440038 6520350.015032
239;00:02:07;844022.7772 6520080.4604;843112.7044 6519866.9951
240;00:02:08;842966.987225 6519878.761507;844512.440038 6520350.015032
241;00:02:09;843561.6331 6519819.7203;843901.0703 6519866.5502
242;00:02:09;844393.8087 6519808.1447;843112.7044 6519866.9951
243;00:02:10;842966.987225 6519878.761507;844512.440038 6520350.015032
244;00:02:10;843409.824 6519795.0649;843312.089858 6521426.578666
245;00:02:12;842872.935922 6520868.859801;843703.726664 6519971.126841
246;00:02:12;842966.987225 6519878.761507;843317.6397 6519780.692
247;00:02:13;843409.824 6519795.0649;844343.432406 6520934.072262
248;00:02:13;844431.3324 6520823.2025;843112.7044 6519866.9951
249;00:02:13;843672.5285006667 6520952.496014;844145.8167 6520171.1041
250;00:02:14;842872.935922 6520868.859801;843901.0703 6519866.5502
251;00:02:15;844462.989651 6520644.367132;844351.726293 6519883.539212
252;00:02:15;842966.987225 6519878.761507;842930.346171 6520447.476392
253;00:02:15;844357.689507 6519884.202588;844512.440038 6520350.015032
254;00:02:15;843146.8685 6519868.9029;843656.9246 6519834.1696
255;00:02:16;844462.989651 6520644.367132;844480.5433 6520450.0164
256;00:02:17;844593.286 6520218.2902;844591.4105 6519934.9879
257;00:02:18;842966.987225 6519878.761507;843317.6397 6519780.692
258;00:02:18;844393.8087 6519808.1447;844480.5433 6520450.0164
259;00:02:19;844593.286 6520218.2902;844591.4105 6519934.9879
260;00:02:19;842872.935922 6520868.859801;844012.319007 6520299.783916
261;00:02:21;844593.286 6520218.2902;842874.672878 6520886.775799
262;00:02:21;842872.935922 6520868.859801;844194.3295 6519860.1052
263;00:02:21;844431.3324 6520823.2025;844480.5433 6520450.0164
264;00:02:22;843409.824 6519795.0649;843239.396612 6520073.970101
265;00:02:22;843283.3115 6521083.982;844035.4799 6520003.0016
266;00:02:22;844035.4799 6520003.0016;843112.7044 6519866.9951
267;00:02:23;844431.3324 6520823.2025;843112.7044 6519866.9951
268;00:02:25;843469.87005375 6520400.887324001;843656.9246 6519834.1696
269;00:02:27;844018.253593 6520300.667484;843317.6397 6519780.692
270;00:02:27;844393.8087 6519808.1447;844480.5433 6520450.0164
271;00:02:27;843512.1499 6521203.7448;844022.7772 6520080.4604
272;00:02:28;843409.824 6519795.0649;844480.5433 6520450.0164
273;00:02:28;844431.3324 6520823.2025;843239.396612 6520073.970101
274;00:02:29;844341.165194 6520945.856138;842874.672878 6520886.775799
275;00:02:30;844462.989651 6520644.367132;843312.089858 6521426.578666
276;00:02:30;842872.935922 6520868.859801;842874.672878 6520886.775799
277;00:02:30;844431.3324 6520823.2025;842930.346171 6520447.476392
278;00:02:31;844462.989651 6520644.367132;843703.726664 6519971.126841
279;00:02:31;844341.165194 6520945.856138;844351.726293 6519883.539212
280;00:02:31;843409.824 6519795.0649;842930.346171 6520447.476392
281;00:02:31;844074.47669225 6520674.020514749;843317.6397 6519780.692
282;00:02:32;842872.935922 6520868.859801;843901.0703 6519866.5502
283;00:02:32;844431.3324 6520823.2025;844359.524784 6519939.593822
284;00:02:33;844462.989651 6520644.367132;844351.726293 6519883.539212
285;00:02:34;843922.0026 6519835.9383;844194.3295 6519860.1052
286;00:02:34;844393.8087 6519808.1447;843481.8564 6519806.7462
287;00:02:34;844431.3324 6520823.2025;844512.440038 6520350.015032
288;00:02:35;844593.286 6520218.2902;843317.6397 6519780.692
289;00:02:35;844341.165194 6520945.856138;843481.8564 6519806.7462
290;00:02:35;844035.4799 6520003.0016;843112.7044 6519866.9951
291;00:02:36;844462.989651 6520644.367132;844351.726293 6519883.539212
292;00:02:36;842872.935922 6520868.859801;842874.672878 6520886.775799
293;00:02:36;842966.987225 6519878.761507;844194.3295 6519860.1052
294;00:02:37;844018.253593 6520300.667484;842874.672878 6520886.775799
295;00:02:38;844406.2867 6520467.152;843312.089858 6521426.578666
296;00:02:39;844462.989651 6520644.367132;842930.346171 6520447.476392
297;00:02:39;843922.0026 6519835.9383;843656.9246 6519834.1696
298;00:02:39;842966.987225 6519878.761507;843317.6397 6519780.692
299;00:02:39;843969.152 6520907.868799999;843317.6397 6519780.692
300;00:02:42;844431.3324 6520823.2025;844591.4105 6519934.9879
301;00:02:43;842872.935922 6520868.859801;844343.432406 6520934.072262
302;00:02:43;842966.987225 6519878.761507;843656.9246 6519834.1696
303;00:02:43;843561.6331 6519819.7203;843481.8564 6519806.7462
304;00:02:44;842872.935922 6520868.859801;842874.672878 6520886.775799
305;00:02:44;844431.3324 6520823.2025;844343.432406 6520934.072262
306;00:02:45;844462.989651 6520644.367132;843703.726664 6519971.126841
307;00:02:45;844480.4663790001 6520321.6904415;842874.672878 6520886.775799
308;00:02:46;844593.286 6520218.2902;844194.3295 6519860.1052
309;00:02:46;842966.987225 6519878.761507;843901.0703 6519866.5502
310;00:02:46;844431.3324 6520823.2025;844591.4105 6519934.9879
311;00:02:48;844168.9461 6520013.9119;842874.672878 6520886.775799
312;00:02:49;844462.989651 6520644.367132;844591.4105 6519934.9879
313;00:02:49;842872.935922 6520868.859801;843656.9246 6519834.1696
314;00:02:50;844462.989651 6520644.367132;844359.524784 6519939.593822
315;00:02:50;844393.8087 6519808.1447;842874.672878 6520886.775799
316;00:02:51;842872.935922 6520868.859801;843901.0703 6519866.5502
317;00:02:52;844404.4784 6519817.2823;842930.346171 6520447.476392
318;00:02:52;844421.097 6520729.653;843481.8564 6519806.7462
319;00:02:53;844462.989651 6520644.367132;842930.346171 6520447.476392
320;00:02:53;844393.8087 6519808.1447;843901.0703 6519866.5502
321;00:02:54;843932.3121595 6520648.3398655;842930.346171 6520447.476392
322;00:02:55;842872.935922 6520868.859801;843656.9246 6519834.1696
323;00:02:55;844341.165194 6520945.856138;844480.5433 6520450.0164
324;00:02:55;844393.8087 6519808.1447;844351.726293 6519883.539212
325;00:02:56;844431.3324 6520823.2025;844351.726293 6519883.539212
326;00:02:57;842872.935922 6520868.859801;843312.089858 6521426.578666
327;00:02:57;843972.512 6520400.3058;843112.7044 6519866.9951
328;00:02:59;842872.935922 6520868.859801;844359.524784 6519939.593822
329;00:03:00;844272.5762 6519871.9419;844012.319007 6520299.783916
330;00:03:02;842872.935922 6520868.859801;843317.6397 6519780.692
331;00:03:02;843409.824 6519795.0649;844194.3295 6519860.1052
332;00:03:02;844393.8087 6519808.1447;843901.0703 6519866.5502
333;00:03:03;844593.286 6520218.2902;844351.726293 6519883.539212
334;00:03:03;844393.8087 6519808.1447;844591.4105 6519934.9879
335;00:03:04;842872.935922 6520868.859801;843317.6397 6519780.692
336;00:03:04;844341.165194 6520945.856138;844359.524784 6519939.593822
337;00:03:05;844462.989651 6520644.367132;844512.440038 6520350.015032
338;00:03:05;844593.286 6520218.2902;843112.7044 6519866.9951
339;00:03:05;842966.987225 6519878.761507;844012.319007 6520299.783916
340;00:03:05;844393.8087 6519808.1447;844351.726293 6519883.539212
341;00:03:07;844462.989651 6520644.367132;843901.0703 6519866.5502
342;00:03:07;844018.253593 6520300.667484;843317.6397 6519780.692
343;00:03:08;842872.935922 6520868.859801;842874.672878 6520886.775799
344;00:03:09;844431.3324 6520823.2025;843703.726664 6519971.126841
345;00:03:10;842872.935922 6520868.859801;844343.432406 6520934.072262
346;00:03:10;843409.824 6519795.0649;843112.7044 6519866.9951
347;00:03:11;844462.989651 6520644.367132;843312.089858 6521426.578666
348;00:03:11;842966.987225 6519878.761507;844512.440038 6520350.015032
349;00:03:12;844593.286 6520218.2902;844359.524784 6519939.593822
350;00:03:12;844341.165194 6520945.856138;844012.319007 6520299.783916
351;00:03:13;842966.987225 6519878.761507;843703.726664 6519971.126841
352;00:03:13;843267.0717 6521180.2432;844022.7772 6520080.4604
353;00:03:14;843985.1215 6520790.4973;842930.346171 6520447.476392
354;00:03:14;843955.5762 6519995.5723;843112.7044 6519866.9951
355;00:03:15;844462.989651 6520644.367132;844480.5433 6520450.0164
356;00:03:16;842966.987225 6519878.761507;844359.524784 6519939.593822
357;00:03:16;843409.824 6519795.0649;844012.319007 6520299.783916
358;00:03:16;844431.3324 6520823.2025;843112.7044 6519866.9951
359;00:03:17;842872.935922 6520868.859801;843317.6397 6519780.692
360;00:03:17;843932.3121595 6520648.3398655;843317.6397 6519780.692
361;00:03:18;842966.987225 6519878.761507;842874.672878 6520886.775799
362;00:03:19;842872.935922 6520868.859801;844194.3295 6519860.1052
363;00:03:19;844393.8087 6519808.1447;844512.440038 6520350.015032
364;00:03:20;844341.165194 6520945.856138;843317.6397 6519780.692
365;00:03:21;844462.989651 6520644.367132;844194.3295 6519860.1052
366;00:03:21;843409.824 6519795.0649;843112.7044 6519866.9951
367;00:03:21;844431.3324 6520823.2025;843481.8564 6519806.7462
368;00:03:22;844593.286 6520218.2902;843317.6397 6519780.692
369;00:03:22;843404.6731 6520314.8042;844194.3295 6519860.1052
370;00:03:23;842966.987225 6519878.761507;843656.9246 6519834.1696
371;00:03:24;844593.286 6520218.2902;844512.440038 6520350.015032
372;00:03:24;843409.824 6519795.0649;844194.3295 6519860.1052
373;00:03:24;844431.3324 6520823.2025;843317.6397 6519780.692
374;00:03:25;844462.989651 6520644.367132;842930.346171 6520447.476392
375;00:03:25;843182.1181 6520224.0739;843481.8564 6519806.7462
376;00:03:25;843637.4877 6519967.012;843312.089858 6521426.578666
377;00:03:25;844116.2844 6520369.2461;842874.672878 6520886.775799
378;00:03:26;842966.987225 6519878.761507;843901.0703 6519866.5502
379;00:03:26;843409.824 6519795.0649;842930.346171 6520447.476392
380;00:03:27;844462.989651 6520644.367132;843317.6397 6519780.692
381;00:03:27;842872.935922 6520868.859801;844480.5433 6520450.0164
382;00:03:28;843409.824 6519795.0649;843312.089858 6521426.578666
383;00:03:28;844272.5762 6519871.9419;842930.346171 6520447.476392
384;00:03:28;843146.8685 6519868.9029;843901.0703 6519866.5502
385;00:03:28;844431.3324 6520823.2025;844351.726293 6519883.539212
386;00:03:29;844462.989651 6520644.367132;844012.319007 6520299.783916
387;00:03:29;844593.286 6520218.2902;843239.396612 6520073.970101
388;00:03:29;842872.935922 6520868.859801;844480.5433 6520450.0164
389;00:03:29;844512.298762 6520356.013368;843656.9246 6519834.1696
390;00:03:31;844462.989651 6520644.367132;842930.346171 6520447.476392
391;00:03:31;842872.935922 6520868.859801;843317.6397 6519780.692
392;00:03:32;842966.987225 6519878.761507;844512.440038 6520350.015032
393;00:03:32;843409.824 6519795.0649;844351.726293 6519883.539212
394;00:03:34;844431.3324 6520823.2025;843656.9246 6519834.1696
395;00:03:35;844593.286 6520218.2902;843656.9246 6519834.1696
396;00:03:35;842872.935922 6520868.859801;843239.396612 6520073.970101
397;00:03:36;843245.331788 6520074.849699;843901.0703 6519866.5502
398;00:03:36;844074.47669225 6520674.020514749;842930.346171 6520447.476392
399;00:03:37;842966.987225 6519878.761507;844194.3295 6519860.1052
400;00:03:37;844399.9488 6520307.0454;843703.726664 6519971.126841
401;00:03:38;842872.935922 6520868.859801;842874.672878 6520886.775799
402;00:03:38;842930.874029 6520435.488008;844194.3295 6519860.1052
403;00:03:38;844393.8087 6519808.1447;844012.319007 6520299.783916
404;00:03:38;844431.3324 6520823.2025;844512.440038 6520350.015032
405;00:03:39;844462.989651 6520644.367132;844194.3295 6519860.1052
406;00:03:40;844462.989651 6520644.367132;844480.5433 6520450.0164
407;00:03:40;842966.987225 6519878.761507;843656.9246 6519834.1696
408;00:03:40;843409.824 6519795.0649;844591.4105 6519934.9879
409;00:03:41;843922.0026 6519835.9383;843112.7044 6519866.9951
410;00:03:41;844593.286 6520218.2902;842930.346171 6520447.476392
411;00:03:41;842872.935922 6520868.859801;843481.8564 6519806.7462
412;00:03:41;844393.8087 6519808.1447;843317.6397 6519780.692
